 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 3,96390885114670E-0001  3,37311061468446E-0003  5,62545088162094E+0002  3,37311061468446E-0003  5,62545088162094E+0002  3,37311061468446E-0003  5,62545088162094E+0002
 4,34790015220642E-0001  2,14546920982005E-0003  1,26790686200114E+0003  2,14546920982005E-0003  1,26790686200114E+0003  2,14546920982005E-0003  1,26790686200114E+0003
 4,85988825559616E-0001  2,98658602299088E-0003  8,95790374613454E+0002  2,98658602299088E-0003  8,95790374613454E+0002  2,98658602299088E-0003  8,95790374613454E+0002
 5,37187635898590E-0001  2,38334598111424E-0003  1,01139355042645E+0003  2,38334598111424E-0003  1,01139355042645E+0003  2,38334598111424E-0003  1,01139355042645E+0003
 5,88386476039886E-0001  1,21134394147366E-0003  9,53135921230066E+0002  1,21134394147366E-0003  9,53135921230066E+0002  1,21134394147366E-0003  9,53135921230066E+0002
 6,39585316181183E-0001  2,63368893892775E-0003  1,30931599641493E+0003  2,63368893892775E-0003  1,30931599641493E+0003  2,63368893892775E-0003  1,30931599641493E+0003
 6,90784156322479E-0001  2,45330583168984E-0003  8,06800150545842E+0002  2,45330583168984E-0003  8,06800150545842E+0002  2,45330583168984E-0003  8,06800150545842E+0002
 7,41982936859131E-0001  2,67627971057346E-0003  8,75112818292200E+0002  2,67627971057346E-0003  8,75112818292200E+0002  2,67627971057346E-0003  8,75112818292200E+0002
 7,93181777000427E-0001  2,86762566576599E-0003  1,08750486771221E+0003  2,86762566576599E-0003  1,08750486771221E+0003  2,86762566576599E-0003  1,08750486771221E+0003
 8,69980037212372E-0001  2,28745839475470E-0003  9,95172526116162E+0002  2,28745839475470E-0003  9,95172526116162E+0002  2,28745839475470E-0003  9,95172526116162E+0002
 9,72377657890320E-0001  1,19640479996856E-0003  2,09721945428629E+0003  1,19640479996856E-0003  2,09721945428629E+0003  1,19640479996856E-0003  2,09721945428629E+0003
 1,07477533817291E+0000  2,31488764202398E-0003  1,40199102642069E+0003  2,31488764202398E-0003  1,40199102642069E+0003  2,31488764202398E-0003  1,40199102642069E+0003
 1,17717301845551E+0000  2,17862861276249E-0003  1,25302799626750E+0003  2,17862861276249E-0003  1,25302799626750E+0003  2,17862861276249E-0003  1,25302799626750E+0003
